0	100	0	0	0
20	0	100	0	100
40	0	100	0	100
60	0	100	0	100
80	0	100	0	100
100	0	100	0	100
120	0	100	0	100
140	0	100	0	100
160	0	100	0	100
180	0	100	0	100
200	0	100	0	100
220	0	100	0	100
240	0	100	0	100
260	0	99	0	99
280	0	98	0	98
300	0	98	0	98
320	0	98	0	98
340	0	97	0	97
360	0	97	0	97
380	0	95	0	95
400	0	94	0	94
420	0	85	9	94
440	0	75	18	93
460	0	67	23	90
480	0	57	33	90
500	0	46	42	88
520	0	36	52	88
540	0	31	56	87
560	0	22	64	86
580	0	10	75	85
600	0	1	83	84
620	0	0	84	84
640	0	0	84	84
660	0	0	84	84
680	0	0	82	82
700	0	0	82	82
720	108	0	82	82
740	239	17	82	99
760	277	126	81	207
780	150	259	80	339
800	37	372	79	451
820	0	409	79	488
840	0	409	79	488
860	0	409	79	488
880	0	409	79	488
900	0	409	78	487
920	0	409	78	487
940	0	409	78	487
960	0	408	76	484
980	0	407	74	481
1000	0	407	4	411
1020	0	405	4	409
1040	0	402	4	406
1060	0	400	4	404
1080	0	398	4	402
1100	0	393	4	397
1120	0	389	4	393
1140	0	389	4	393
1160	0	384	9	393
1180	0	358	33	391
1200	0	325	65	390
1220	0	295	90	385
1240	0	272	112	384
1260	0	226	154	380
1280	0	192	187	379
1300	0	138	239	377
1320	0	101	274	375
1340	0	63	311	374
1360	0	34	338	372
1380	0	2	93	95
1400	0	2	92	94
1420	0	0	93	93
1440	106	0	92	92
1460	240	10	90	100
1480	296	83	89	172
1500	183	235	87	322
1520	56	362	86	448
1540	1	417	85	502
1560	0	418	85	503
1580	0	418	84	502
1600	0	418	83	501
1620	0	418	83	501
1640	0	418	83	501
1660	0	418	83	501
1680	0	418	80	498
1700	0	418	80	498
1720	0	417	80	497
1740	0	414	6	420
1760	0	413	6	419
1780	0	411	6	417
1800	0	409	6	415
1820	0	408	6	414
1840	0	406	6	412
1860	0	402	6	408
1880	0	396	10	406
1900	0	382	22	404
1920	0	351	52	403
1940	0	321	81	402
1960	0	272	129	401
1980	0	224	171	395
2000	0	190	204	394
2020	0	146	246	392
2040	0	118	270	388
2060	0	73	311	384
2080	0	36	347	383
2100	0	6	171	177
2120	0	1	175	176
2140	0	0	175	175
2160	14	0	174	174
2180	626	0	174	174
2200	957	138	174	312
2220	1021	568	174	742
2240	498	1111	172	1283
2260	88	1521	170	1691
2280	0	1609	168	1777
2300	0	1609	168	1777
2320	0	1609	168	1777
2340	0	1609	167	1776
2360	0	1609	165	1774
2380	0	1609	165	1774
2400	0	1609	163	1772
2420	0	1609	162	1771
2440	0	1597	162	1759
2460	0	1591	162	1753
2480	0	1583	89	1672
2500	0	1575	89	1664
2520	0	1568	88	1656
2540	194	1561	88	1649
2560	388	1569	88	1657
2580	418	1735	88	1823
2600	265	1944	90	2034
2620	79	2096	117	2213
2640	2	2091	188	2279
2660	0	1965	308	2273
2680	0	1779	485	2264
2700	0	1625	628	2253
